spdb3517	服务调查满意度100%。
spdb3739	合法性原则。押品管理应符合法律法规规定。 （二）有效性原则。抵质押担保手续完备，押品估值合理并易于处置变现，具有较好的债权保障作用。 （三）审慎性原则。充分考虑押品本身可能存在的风险因素，审慎制定押品管理政策，动态评估押品价值及风险缓释作用。 （四）从属性原则。商业银行使用押品缓释信用风险应以全面评估债务人的偿债能力为前提。
spdb3740	押品真实存在； （二）押品权属关系清晰，抵押（出质）人对押品具有处分权； （三）押品符合法律法规规定或国家政策要求； （四）押品具有良好的变现能力。
spdb3747	上海银行与上海市担保基金积极开展业务创新，推出“银税保”、“投贷保”、“专精特新企业”、“文创保”和“EN贷”等专项产品方案，并开通绿色审批通道，为优质成长型中小企业提供“结算、理财+信贷+政策性担保+投贷联动”等综合金融服务。
spdb3749	  二是精准扶贫。。
spdb3750	金融服务全覆盖。  三是将“双基联动”发展成金融精准扶贫的好平台。银政共同参与金融扶贫，银行业机构借助地方财政担保基金，实现扶贫贷款的数倍放大，有助于变“输血”式扶贫为“造血”式扶贫，在提高扶贫资金使用效率的同时，实现精准扶贫。  四是将“双基联动”打造成促进农村信用体系建设的新载体。“双基联动”开展后，银行业机构对农户的信用经济建档以及信用等级评定和贷款发放等都依托于村党组织的推荐意见，有利于增强农户的诚实守信意识，构建良好的农村信用环境探索“双基联动”模式，促进银政合作双赢。
spdb3757	为积极配合农业现代化发展的需要，乌苏市联社结合地方经济和民营企业现状，引进外部担保机构，突破小企业在抵押、担保等方面的“瓶颈”。该联社和乌苏市农机局及农机经销商签订三方合作协议，由农机经销商对农机贷款提供担保，并向乌苏市联社缴存10%的保证金。同时，由乌苏市农机局负责对全辖农机的补贴事宜，以及办理农机抵押登记手续。通过三方合作、明晰责任，三方有机形成合力，不但解决了农民申请贷款无合适抵押物和担保问题，同时由补贴和农机局担保作为双重保障，降低了银行的信用风险。截至2016年2月末，已累计发放购农机具贷款190户，金额5565.5万元。有力地支持了农业机械化水平，为农业现代化发展夯实了基础
spdb3758	三是给信用户及牧民优惠利率。在确定上浮利率时，降档执行，对养殖业少上浮5%，对既属于养殖业又是信用户减少上浮10%。截至2016年2月末，向2154户养殖信用户发放贷款40729.4万元。
spdb3760	一直积极贯彻落实党中央、国务院关于防控金融风险、弥补监管短板的决策部署，推进监管制度漏洞排查，坚决治理市场乱象，坚决打击违法行为。当前，银行业金融机构快速发展，社会资本发起设立、参股或收购银行业金融机构的积极性不断提高。但一些乱象也随之发生，如违规使用非自有资金入股、代持股份、滥用股东权利损害银行利益等。为治理上述市场乱象，切实弥补监管短板，银监会组织起草了《办法》。
spdb3770	是河北银监局及我省银行业机构贯彻落实“十九大”精神、践行“四个意识”、推进协同发展战略的重要举措，对推动雄安新区金融业发展具有里程碑意义，将进一步提高新区金融服务层级，对我省银行业机构及早对接新区金融需求、及早融入新区规划建设、及早实现创新转型发展具有重要实践意义。
spdb3777	小微企业、拓展融资渠道、优化融资方案、规范经营行为、推动专营机构改革和加强舆论宣传等六个方面，提出银行业金融机构为企业降低融资成本的具体指导意见，通过全方位、多渠道、针对性的措施，为银行业金融机构提升服务实体经济的质效提供
spdb3778	百色银行业以建设全国“南菜北送”生产基地为契机，大力支持冬菜种植及相关农业经营项目，成效显著。
spdb3780	百色银行业提升服务，通过优惠利率、简化小额农贷程序、设立绿色通道等措施，提升金融服务便捷度。
spdb3790	已具备区域统计、网点统计、网点查询、机构查询、模糊查询、综合查询等
spdb3798	一是加强对工程承包企业“走出去”的金融支撑。充分发挥保函的境外担保以及出口信贷的项目融资作用，为工程承包企业在前期招投标和后期项目运作中提供强有力的金融支撑。截至6月末，已开立的外币保函余额达10.41亿美元，涉及“一带一路”项目业务授信余额达36.71亿元。二是加强推进跨境双向人民币资金池业务。上半年累计为12家跨国企业集团办理跨境人民币资金归集调拨业务，协助14家跨国企业集团搭建跨境人民币双向资金池，助力辖区跨国企业人民币跨境双向流通。三是加强支持跨境直接投资业务。积极梳理辖区企业境外投资需求，助力省内多家企业进行海外并购。
spdb3809	南海农村商业银行联合五家企业共同发起设立了佛山海晟金融租赁股份有限公司，截至2017年6月末，该公司已支持装备制造行业发展的项目121个，并且与超过700家中小微企业达成主动授信。全力助推装备制造业产业转型升级。  
spdb3817	通过省政府对江苏苏银城投棚户区改造基金项目的统一规划、扎口管理，有效提高棚改项目的审核标准，控制各市县棚改项目的规模，避免盲目扩大。同时，各市县政府将购买棚改服务的资金纳入本级财政预算，若各市县未能按时支付服务费用，可由省财政厅在与其往来资金中直接扣款拨付，提升资金还款保证。
spdb3818	“银信政企”的合作模式，由省政府统一协调，融资成本为五年期以上贷款基准利率上浮10%，规模化投资提升资金利用效率，降低融资成本，减轻各级财政负担
spdb3829	督促辖内农村中小银行业机构大力开展合规教育活动，重点加强了从业人员对法律法规知识和“三十个严禁”的组织学习，让法规入脑入心，让合规成为习惯。。
spdb3830	组织辖内农村中小银行业机构对规章制度进行了修订完善，特别是对员工行为的约束性要求、对员工违规行为的举报制度、对员工违规行为的处罚办法等，进一步明确了员工行为的归口管理部门和主要职责，使大家行有规可依、为有章可循，对违规违纪现象处有纪可量、罚有尺可度。。
spdb3847	积极开通支付宝、银联在线、财付通“微信支付”服务
spdb3849	在网点安装网银验机设备，划分电子银行体验区，部分设立网购体验区。。
spdb3858	为进一步规范银行业金融机构从业人员行为，加强对银行业金融机构对其从业人员行为管理的监管
spdb3860	新疆银监局机关结对认亲活动以“手拉手心连心，结对认亲献真情”为主题，22名党员领导干部分别与和田县塔瓦库勒乡翁村、也克先拜巴扎村22户少数民族家庭结为亲人。结对认亲仪式上，新疆银监局局领导用维汉双语宣布了结对认亲名单，并给老乡和结对认亲干部们发放了用维汉双语书写的“新疆银监局结对认亲卡”。启动仪式结束后，新疆银监局22名党员领导干部深入认亲对象中走访并带去了米、面、油等慰问品
spdb3867	以其小额、信用、贴息
spdb3878	与省妇联、人社厅、财政厅、团委等部门
spdb3888	现场咨询、发放折页、有奖问答等
spdb3889	现场咨询、发放折页、有奖问答等
spdb3898	新疆银行业金融机构受宏观经济运行及内外部环境的复杂形势影响，不良贷款余额较年初新增47.63亿元，同比增长25.86%；不良贷款率为1.49%，同比上升0.19个百分点。
spdb3908	各级监管部门和银行业金融机构要认真学习领会中央农村工作会议和中央一号文件精神，认真贯彻落实全国银行业监督管理工作会议关于改善农村金融服务的各项工作要求，深刻认识“三农”问题始终是我国现代化建设进程中带有全局性和战略性的问题。要从全面建成小康社会、加快推进社会主义现代化的战略高度出发，强化支农服务政治责任，深入推进农村金融体制改革，主动适应农村实际、农业特点、农民需求，不断深化农村金融改革创新，健全金融支农制度，提升金融支农能力，推动金融资源继续向“三农”倾斜，实现农村金融与农业、农村经济的共同发展。2015年，要执行好现有各项农村金融服务政策和有扶有控的差别化信贷政策，不断加大“三农”信贷投放力度，在有效提高贷款增量的基础上，继续扩大“三农”专项金融债发行规模，努力实现涉农贷款增速高于全部贷款平均水平，充分发挥信贷资金对农业增产、农民增收和农村经济发展的推动效应。
spdb3909	强化农业发展银行政策性功能定位，明确政策性业务范围，加大对农业开发和水利、贫困地区公路等农业农村基础设施建设的贷款力度，审慎发展自营性业务。国家开发银行要创新服务“三农”融资模式，进一步加大对农业农村建设的中长期信贷投放。深化农村信用社改革，提高资本实力和治理水平，培育合格的市场主体，牢牢坚持立足县域、服务“三农”的定位，更好发挥支农服务主力军作用。强化农村信用社省联社服务功能，推动省联社加快职能转换，优化协调指导，整合放大农村信用社（农村商业银行、农村合作银行）服务“三农”的能力。引导邮政储蓄银行稳步发展小额涉农贷款业务，逐步扩大涉农业务范围，持续拓展农村金融业务，促进农村资金回流。支持其他商业银行下沉机构网点，优化农村地区网点布局，适度扩大农村地区网点覆盖面。
spdb3910	鼓励和引导汽车金融公司、消费金融公司在做好风险防范的基础上，不断加大对农村居民消费金融服务的支持力度，支持农村地区消费信贷发展，满足农村居民合理消费信贷需求，激发农村地区消费潜力，促进扩大内需和消费升级，发挥消费推动经济发展的基础作用。 积极推动省级人民政府抓紧落实对新型农村合作金融的监管、引导和规范职责，支持在符合条件的农民合作社和供销合作社基础上培育发展农村合作金融组织，促进其更好地为农村实体经济服务。
spdb3917	农行农行青岛分行将从扶持重点产业入手，大力支持县域重大基础设施项目、城镇化项目、水利水务项目、景区旅游项目、特色农业项目和商品流通市场等六类重点项目，以及机关事业单位、龙头骨干企业、优质小微企业、农业新型经营主体、个人贵宾客户和住房贷款客户等六类重点客户，打造产业优势，加快经济发展，促进广大农民从根本上实现脱贫致富目标。。
spdb3918	密切配合各级政府部门，主动对接脱贫攻坚方略、规划，利用好政府在信贷增信以及改善金融生态环境方面的举措，强化对贫困户的信贷服务。对于创业无资金、贷款无担保的贫困户，对接青岛市政府即将研究出台的扶贫小额贷款管理办法和针对贫困家庭设立的小额贷款基金，积极跟进农户贷款业务。配合市农委、市畜牧局、市海洋与渔业局等相关部门推广“企业+贫困户”、“合作社+贫困户”、“园区+贫困户”等模式，加快发展特色种养业，扶持贫困村培育一村一品，发展生态农业、观光农业和乡村旅游业，以农村特色产业带动农民脱贫致富。
spdb3919	文化水平、专业技能和综合素质长期不能提升，是导致农村贫富差距的重要原因。下步要继续采用送金融知识下乡等方式，结合农业新型经营主体培训班，有针对性地做好转移就业和农业创业培训，帮助贫困群众转变观念，增强信心，提高就业创业增收的能力。对贫困辍学失学的儿童，密切跟踪扶持，帮助其顺利完成学业。
spdb3920	农行农行青岛分行将从分行机关到基层网点、从市区行到县域行，从党组织到群团组织，从领导干部到一线员工，都将扶贫作为自身的一项重要职责，与文明创建活动结合起来，组织开展一系列捐款捐物、义工服务等送温暖活动，给予贫困户更多的物质资助、精神关爱。
spdb3930	小微专营团队
spdb3937	消费信贷供给能力。  （十三）改进支付服务。扩展银行卡消费服务功能。改善小城镇、农村集市、商业聚集区银行卡受理环境，提高用卡便捷度。促进移动支付、互联网支付等新兴支付方式规范发展。  （十四）维护金融消费者权益。引入社会征信机构或吸收社会资本成立独立的第三方机构，搭建消费信用信息平台，优化信用环境。加强金融消费者教育，完善金融消费纠纷受理处理机制。建立消费领域新产品、新业态、新模式的信贷风险识别、预警和防范机制，提升风险防控能力。
spdb3938	加快落实金融支持养老服务业发展的政策措施。在风险可控的前提下，探索养老服务机构土地使用权、房产、收费权等抵质押贷款的可行模式。加大创业担保贷款投放力度，支持社区小型家政、健康服务机构发展。  （七）支持信息和网络消费。大力发展专利权质押融资，支持可穿戴设备、智能家居等智能终端技术研发和推广。鼓励银行业金融机构与网络零售平台在小额消费领域开展合作，并在风险可控、权责明确的条件下，自主发放小额消费信贷。  （八）支持绿色消费。加快修订《汽车贷款管理办法》。
spdb3948	为促进香港与内地债券市场共同发展
spdb3950	对人民币全面可兑换和资本跨境流动的担心，并终将推动人民币国际化的长期发展。
spdb3957	牛锡明
spdb3958	批量转让个人
spdb3959	《中华人民共和国银行业监督管理法》第二十一条、第四十六条。
spdb3960	罚款20万元
spdb3968	（一）具有良好的公司治理结构和完善的内部控制体系；  （二）具有从事金融债券发行和管理的合格专业人员；  （三）金融租赁公司注册资本金不低于5亿元人民币或等值的自由兑换货币，汽车金融公司注册资本金不低于8亿元人民币或等值的自由兑换货币；  （四）资产质量良好，最近1年不良资产率低于行业平均水平，资产损失准备计提充足；  （五）无到期不能支付债务；  （六）净资产不低于行业平均水平；  （七）经营状况良好，最近3年连续盈利，最近1年利润率不低于行业平均水平，且有稳定的盈利预期；  （八）最近3年平均可分配利润足以支付所发行金融债券1年的利息；  （九）风险监管指标达到监管要求；  （十）最近3年没有重大违法、违规行为；  （十一）中国人民银行和中国银行业监督管理委员会要求的其他条件。
spdb3969	（一）金融债券发行申请报告；  （二）发行人公司章程或章程性文件规定的权力机构的书面同意文件；  （三）发行人近3年经审计的财务报告及审计报告；  （四）募集说明书；  （五）发行公告或发行章程；  （六）承销协议；  （七）发行人关于本期偿债计划及保障措施的专项报告；  （八）信用评级机构出具的金融债券信用评级报告和有关持续跟踪评级安排的说明；  （九）发行人律师出具的法律意见书；  （十）中国银行业监督管理委员会要求的其他文件。
spdb3970	（一）第八条（一）至（九）项要求的文件；  （二）监管机构同意金融债券发行的文件；  （三）中国人民银行要求的其他文件。
spdb3977	（一）廉租住房项目应已纳入政府年度廉租住房建设计划，并按规定取得政府有关部门的批准文件。      （二）已与政府签订廉租住房回购协议。      （三）在贷款银行开立专用存款账户。      （四）提供贷款人认可的有效担保。      （五）新建廉租住房项目已取得所需的《国有土地使用证》、《建设用地规划许可证》、《建设工程规划许可证》和《建设工程施工许可证》；改建廉租住房已取得有关部门颁发的许可文件。      （六）新建廉租住房项目资本金不低于项目总投资20%的比例；改建廉租住房项目资本金不低于项目总投资30%的比例。      （七）借款人信用状况良好，无不良纪录。      （八）贷款人规定的其他条件。
spdb3978	专款专用，不得挤占挪用。      （二）先使用项目资本金，后使用贷款。      （三）按项目进度用款。
spdb3979	为贯彻落实中央关于扩大内需促进经济平稳较快增长的重大举措和《国务院关于解决城市低收入家庭住房困难的若干意见》（国发〔2007〕24号）精神，支持廉租住房开发建设，保障民生
spdb3987	按照“打防并举，综合治理”的原则，排查银行卡支付体系的安全隐患，进一步完善、落实银行卡发行、交易、清算等环节的各项管理制度规定；加大对银行卡犯罪的打击力度，积极探索建立跨部门之间预防和打击银行卡违法犯罪的长效机制。
spdb3988	北京、上海、天津、沈阳、秦皇岛、青岛等奥运项目举办城市和部分重点旅游城市
spdb3989	（
spdb3998	“纳税人全称”、“纳税人识别号”和“税票号码”要素内容
spdb3999	“付款人名称”修改为“付款人全称”
spdb4000	修改为“打印时间”，具体格式为 “年月日时分”
spdb4007	积极协助经办银行做好贷后跟踪催收等工作。
spdb4017	保税区、出口加工区及其他海关特殊监管区域、保税监管场所与境外间进出的黄金及其制品，海关特殊监管区域、保税监管场所之间进出的黄金及其制品
spdb4018	保税区、出口加工区及其他海关特殊监管区域、保税监管场所进入境内区外的黄金及其制品
spdb4019	为了规范香港银行个人人民币业务清算行调运人民币现钞进出境通关业务
spdb4020	业务在深圳皇岗口岸陆路旅检车通道办理。特殊情况下由深圳海关批准可改经其他通道。
spdb4027	“非一批一证”《准许证》管理试点海关为北京、上海、广州、南京、青岛、深圳海关。
spdb4047	为落实《国务院关于推进资本市场改革开放和稳定发展的若干意见》（国发〔2004〕3号），促进金融市场协调发展，鼓励金融创新，保证商业银行设立基金管理公司试点工作顺利进行
spdb4050	对所设立的基金管理公司承担有限责任，并通过基金管理公司的股东会依法行使股东权利，不得越过股东会、董事会干预公司的经营管理。
spdb4059	1年、3年、5年、7年和10年5个关键期限中至少4个关键期限的新发国债进行做市，并且在每个关键期限最近新发的4只国债中至少选择1只进行做市。
spdb4060	是指新近发行的记账式附息国债中的关键期限国债，不包括记账式附息国债中的非关键期限国债和记账式贴现国债。
spdb4067	社区劳动保障工作平台建设已实现机构、人员、经费、场地、制度和工作“六到位”；社区各种台账齐全、数据准确并建立个人信用档案；社区劳动保障工作人员熟知政策并能开展咨询服务工作；社区与借款人签订《借款承诺书》；社区建立跟踪服务卡，并能积极参与欠款追索工作；社区单独或联合开展创业培训并有一定成效；社区内已发放的小额担保贷款回收率达到90%以上。具体信用社区的标准确定及认定办法由各省、自治区、直辖市、计划单列市制订。
spdb4069	从事个体经营自筹资金不足
spdb4077	是指开证行(或付款行)收到合格单据和汇票后对外承兑并在规定的日期、或在开证后某个可确定的日期付款的信用证(不包括备用信用证)。
spdb4087	缴纳税款的款项。  （三）其他由国家税务总局、财政部、中国人民银行认可不能直接缴库的款项。
spdb4088	1．按照中国人民银行《支付结算会计核算手续》的有关规定审核相关内容；  2．按照当地同城票据交换管理规定向付款行或代理付款行提出票据进行交换。会计分录为：  借：同城票据交换  贷：国库待结算款项－同城票据交换暂收等  3．如约时或隔场退票、票据不能解付，作上面分录的相反分录，并将退回的票据退税务机关或持票人；如约时或隔场无退票，作收账处理。会计分录为：  借：国库待结算款项－同城票据交换暂收等  贷：国库待结算款项－待缴库税款专户等  以上处理方法与当地同城票据交换管理规定不符的，从其规定。通过小额支付系统办理支票托收业务的，按照小额支付系统的相关规定办理。
spdb4090	为支持扩大出口，提高对外开放水平，鼓励我国轻工、纺织、家用电器等
spdb4097	（一）信托目的；  （二）发起机构、受托机构的名称、住所；  （三）受益人范围和确定办法；  （四）信托财产的范围、种类、标准和状况；  （五）本办法第十四条规定的赎回或置换条款；  （六）受益人取得信托利益的形式、方法；  （七）信托期限；  （八）信托财产的管理方法；  （九）发起机构、受托机构的权利与义务；  （十）接受受托机构委托代理信托事务的机构的职责；  （十一）受托机构的报酬；  （十二）资产支持证券持有人大会的组织形式与权力；  （十三）新受托机构的选任方式；  （十四）信托终止事由。
spdb4098	（一）发行资产支持证券；  （二）管理信托财产；  （三）持续披露信托财产和资产支持证券信息；  （四）依照信托合同约定分配信托利益；  （五）信托合同约定的其他职责。
spdb4099	（一）被依法取消受托机构资格；  （二）被资产支持证券持有人大会解任；  （三）依法解散、被依法撤销或者被依法宣告破产；  （四）受托机构辞任；  （五）法律、行政法规规定的或信托合同约定的其他情形。
spdb4100	（一）受托机构、贷款服务机构的名称、住所；  （二）贷款服务机构职责；  （三）贷款管理方法与标准；  （四）受托机构、贷款服务机构的权利与义务；  （五）贷款服务机构的报酬；  （六）违约责任；  （七）其他事项。
spdb4109	为保证会计师事务所从事金融相关审计业务的执业质量，财政部和中国人民银行对符合规定条件的会计师事务所实行年检制度，对年检不符合要求的，停止其从事金融相关审计业务。
spdb4110	（一）工商行政管理部门核发的《企业法人营业执照》和税务管理部门核发的《税务登记证》副本复印件并出示副本原件；  （二）公司章程；  （三）注册资本验资报告复印件并出示原件；  （四）信用评级工作制度和内部管理制度；  （五）最近三年的财务报表；  （六）经物价部门核定或备案的收费标准；  （七）办公场所及组织机构的设置情况；  （八）法定代表人及其高级管理人员（指副总经理以上人员）的身份证明复印件、简历及有关资料。
spdb4118	为有效发挥信用社改革试点资金支持政策的正向激励作用
spdb4127	美元与人民币的年平均汇率(100∶82784)计算，其他币种按2000年12月31日中国人民银行公布的外汇牌价的中间价折算成
spdb4147	为了规范中、外资金融机构外币存、贷款利率的管理
spdb4148	的小额外币存款，纳入人民银行现行小额
spdb4149	中国居民和非中国居民300万美元(或等值其他外币)以上的大额存款利率，由中、外资金融机构与客户协商确定。
